the_geom,SEGMENTID,OFT,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,UNIQUEID,PURPOSE
"MULTILINESTRING ((-74.12448960061522 40.63113460599108, -74.12613822448465 40.63062638352707))",9813,524570523900544658,CORNELL AVENUE,CLOVE ROAD,RAYMOND PLACE,S,02/26/2025 12:00:00 AM,03/28/2025 12:00:00 AM,6820e945819f7e89ecf91829a95a6a3a8a0844b1621356e4aea1e61d1c6e2ed2,REPAIR GAS
"MULTILINESTRING ((-74.19879341875411 40.522175944384315, -74.19792412770283 40.522545709528465))",1098,570299525908547300,SINGLETON STREET,DEAD END,SEGUINE AVENUE,S,12/26/2024 12:00:00 AM,03/26/2025 12:00:00 AM,c4a5d52564922dfb3cd4e3c1feeb585df232e1c9feaa6e66f2b886c4c8893400,INSTALLATION OF POLES
"MULTILINESTRING ((-74.19879341875411 40.522175944384315, -74.19792412770283 40.522545709528465))",1098,570299525908547300,SINGLETON STREET,DEAD END,SEGUINE AVENUE,S,12/26/2024 12:00:00 AM,03/25/2025 12:00:00 AM,f83d0277026f1d2b8c0617bc658e849360fc3f3c95168f876ce81256d44338f8,INSTALLATION OF POLES
"MULTILINESTRING ((-73.95032596692067 40.65783743174059, -73.94743290339238 40.65803120692288))",28743,348230364830367030,HAWTHORNE STREET,NEW YORK AVENUE,NOSTRAND AVENUE,B,02/24/2025 12:00:00 AM,03/22/2025 12:00:00 AM,8f45e12feccc75367e822dedc29d6d74c516ea0d2b2c37bf18316bb6a75a4d20,OCCUPANCY OF SIDEWALK AS STIPULATED
"MULTILINESTRING ((-73.95032596692067 40.65783743174059, -73.94743290339238 40.65803120692288))",28743,348230364830367030,HAWTHORNE STREET,NEW YORK AVENUE,NOSTRAND AVENUE,B,02/24/2025 12:00:00 AM,03/22/2025 12:00:00 AM,512cb0dc3683a39a55fb776fdb9786543acedaf1c0af80feb53449f0be8de4fc,OCCUPANCY OF ROADWAY AS STIPULATED
"MULTILINESTRING ((-73.95032596692067 40.65783743174059, -73.94743290339238 40.65803120692288))",28743,348230364830367030,HAWTHORNE STREET,NEW YORK AVENUE,NOSTRAND AVENUE,B,02/24/2025 12:00:00 AM,03/22/2025 12:00:00 AM,f1e251f6f6801ebb77688bbb9bd7645647fd72a494162792e01c5fd024c85138,PLACE CRANE OR SHOVEL ON STREET
"MULTILINESTRING ((-73.99956055644105 40.63131492452844, -73.9973586039197 40.62998632267636))",19947,309480306280306380,58 STREET,12 AVENUE,13 AVENUE,B,02/26/2025 12:00:00 AM,03/17/2025 12:00:00 AM,0ff23472feb70ec0c40020a44cb3c8787941ec3d618f8b58f300792145246a47,PLACE CRANE OR SHOVEL ON STREET
"MULTILINESTRING ((-73.99956055644105 40.63131492452844, -73.9973586039197 40.62998632267636))",19947,309480306280306380,58 STREET,12 AVENUE,13 AVENUE,B,02/26/2025 12:00:00 AM,03/17/2025 12:00:00 AM,1dd7e37afbb251f36a95b552b4c65b5419ab0921b3928e64827598ca5c55ff41,OCCUPANCY OF ROADWAY AS STIPULATED
"MULTILINESTRING ((-73.99956055644105 40.63131492452844, -73.9973586039197 40.62998632267636))",19947,309480306280306380,58 STREET,12 AVENUE,13 AVENUE,B,02/26/2025 12:00:00 AM,03/17/2025 12:00:00 AM,a13721cfd033c0128d60ec1aa70fd49abfd567a62648686ce64dd667bc638d9c,OCCUPANCY OF SIDEWALK AS STIPULATED
"MULTILINESTRING ((-73.9723973552138 40.60565188993448, -73.97131217241814 40.60577588719647))",25228,394530334880359430,WOODSIDE AVENUE,EAST    2 STREET,MC DONALD AVENUE,B,03/04/2025 12:00:00 AM,05/03/2025 12:00:00 AM,0cc3d9c24e9a6ae6813cbd4e335e35ef19ddd5344b4bf84e052cc93302761619,PLACE MATERIAL ON STREET
